Year,France (Adjusted savings: education expenditure (% of GNI)),"France (GNI per capita, Atlas method (current US$))",Japan (Adjusted savings: education expenditure (% of GNI)),"Japan (GNI per capita, Atlas method (current US$))",China (Adjusted savings: education expenditure (% of GNI)),"China (GNI per capita, Atlas method (current US$))",Sweden (Adjusted savings: education expenditure (% of GNI)),"Sweden (GNI per capita, Atlas method (current US$))",Russian Federation (Adjusted savings: education expenditure (% of GNI)),"Russian Federation (GNI per capita, Atlas method (current US$))",United States (Adjusted savings: education expenditure (% of GNI)),"United States (GNI per capita, Atlas method (current US$))"
1996,5.4,27110,3.2799471,43150,1.7,650,8.2848299,30400,3.5443443,2600,4.7893238,30270
1997,5.3603385,26930,3.2383795,40040,2.0359013,750,8.0430274,31390,3.5443443,2650,4.7893238,30270
1998,5.097325023,25830,2.924860181,34450,2.0030148,800,7.215439126,31110,3.5443443,2130,4.270473546,30270
1999,5.05,25420,2.966656634,33780,1.79,860,6.859642563,31300,3.545166586,1750,4.280598757,30270
2000,4.885371085,24970,3.052811352,36230,1.79,940,6.736049425,31610,3.545988873,1710,4.513758289,30270
2001,4.88,23840,3.023999388,36770,1.79,1010,6.612593195,29720,3.546811159,1780,4.74691782,30270
2002,4.91,23090,3.050079404,34790,1.79,1110,6.466723382,29090,3.547633445,2100,4.76279808,30270
2003,5.19,25930,3.081025271,35070,1.79,1280,6.320853569,32750,3.548455731,2590,4.923485217,30270
2004,5.03,31360,3.055688785,38350,1.79,1510,6.69,39790,3.549278018,3410,4.681501272,30270
2005,4.92,35870,2.997335476,40560,1.79,1760,6.47,45770,3.550100304,4450,4.447336369,30270
2006,4.86,37850,2.936608756,39930,1.79,2060,5.96,49150,3.55092259,5810,4.688412769,30270
2007,4.88,40130,2.942247513,38740,1.79,2510,5.7,52310,3.551744877,7560,4.607559133,30270
2008,4.88,43460,2.933617942,38850,1.79,3100,5.85,55720,3.552567163,9580,4.714283974,30270
2009,5.12,43930,3.004652247,38800,1.79,3680,6.37,52640,3.553389449,9230,4.712153853,30270
2010,5.1,43850,3.075686552,43440,1.79,4340,6.11,54630,3.554211736,9980,4.840966283,30270
2011,4.95,44350,3.100095609,46880,1.79,5050,6.02,56700,3.555034022,11060,5.05,30270
2012,5.01,43380,3.199385076,49480,1.79,5930,7.08,59090,3.555856308,13490,4.502001669,52760
2013,4.916331223,43780,3.123532902,48280,1.79,6770,7.066873893,61800,3.579387374,15190,4.404324008,53930
2014,4.955414733,43320,2.987120073,43950,1.79,7510,7.038271627,61870,3.751017163,14630,4.39647506,55840
2015,4.935406534,41100,2.859526433,38840,1.79,7940,7.009318608,58420,3.658738779,11780,4.39647506,56740
2016,4.929780832,39070,2.731932792,37860,1.79,8270,7.205528904,54360,3.63846473,9730,4.39647506,57270
2017,4.92415513,38270,2.728282269,38490,1.79,8740,7.130595328,53030,4.418837132,9210,4.39647506,59460
2018,4.92415513,41080,2.728282269,41150,1.79,9600,7.130595328,55640,4.418837132,10250,4.39647506,63510
2019,4.92415513,42290,2.728282269,41580,1.79,10390,7.130595328,56090,4.418837132,11250,4.39647506,65910
